Drill Listing
=============
Drill: .01  Tool: 1  Feed: 95  Speed: 300
X 130200  Y 115900
X 133700  Y 127600
X 127500  Y 139500
X 120500  Y 154400
X 114400  Y 154400
X 130000  Y 171000
X 120500  Y 180500
X 114500  Y 188500
X 134700  Y 201800
X 114500  Y 246600
X 120500  Y 246700
X 112000  Y 252000
X 128000  Y 256500
X 110500  Y 290500
X 114500  Y 295000
X 114500  Y 302500
X 114400  Y 310500
X 114500  Y 318500
X 114500  Y 326500
X 114500  Y 334000
X 125100  Y 354400
X 111500  Y 367500
X 124300  Y 368100
X 124300  Y 371100
X 122000  Y 379000
X 122000  Y 385500
X 128000  Y 385500
X 128000  Y 388500
X 122000  Y 388500
X 122000  Y 391500
X 128000  Y 391500
X 128000  Y 398000
X 122000  Y 398000
X 122000  Y 401000
X 128000  Y 401000
X 122000  Y 407500
X 128000  Y 407500
X 128000  Y 410500
X 128000  Y 417000
X 122000  Y 417000
X 122000  Y 420000
X 128000  Y 420000
X 128000  Y 426500
X 122000  Y 426500
X 122000  Y 429500
X 128000  Y 429500
X 128000  Y 436000
X 122000  Y 436000
X 122000  Y 439000
X 128000  Y 439000
X 122000  Y 445500
X 128000  Y 445500
X 122000  Y 448500
X 128000  Y 448500
X 128000  Y 454500
X 122000  Y 454500
X 122000  Y 458000
X 128000  Y 458000
X 125100  Y 464000
X 122000  Y 467500
X 128000  Y 467500
X 128000  Y 470500
X 123200  Y 471700
X 121900  Y 475900
X 126100  Y 477400
X 126400  Y 480000
X 122000  Y 480000
X 122000  Y 486000
X 128000  Y 486000
X 122000  Y 489500
X 124600  Y 495600
X 128000  Y 499000
X 122000  Y 499000
X 128000  Y 502000
X 122000  Y 502000
X 122000  Y 508500
X 128000  Y 511500
X 122000  Y 511500
X 127600  Y 514500
X 127600  Y 517500
X 127600  Y 524000
X 127600  Y 527000
X 130900  Y 638600
X 142000  Y 613000
X 142000  Y 605000
X 142000  Y 593000
X 142000  Y 585000
X 151000  Y 580500
X 142000  Y 573200
X 151500  Y 571300
X 158600  Y 568800
X 141900  Y 565300
X 158600  Y 562800
X 142000  Y 554000
X 142000  Y 546000
X 152000  Y 540500
X 141000  Y 506000
X 140600  Y 492500
X 140600  Y 461024
X 150500  Y 440000
X 147300  Y 389900
X 150500  Y 334000
X 156130  Y 334000
X 156130  Y 316800
X 150500  Y 316800
X 155700  Y 312500
X 150500  Y 312500
X 142000  Y 297500
X 150500  Y 295300
X 157300  Y 295300
X 158200  Y 228700
X 150500  Y 223600
X 155000  Y 218500
X 155500  Y 214500
X 158400  Y 207000
X 150031  Y 192968
X 153000  Y 192800
X 155200  Y 191100
X 145400  Y 190200
X 155000  Y 188500
X 159800  Y 186000
X 142600  Y 182400
X 140000  Y 181900
X 138000  Y 177000
X 155000  Y 176100
X 148900  Y 176100
X 136100  Y 173400
X 148900  Y 170000
X 155000  Y 170000
X 138000  Y 167000
X 143600  Y 163200
X 160300  Y 163200
X 152907  Y 159092
X 150200  Y 159000
X 152900  Y 153600
X 148500  Y 153500
X 150800  Y 134900
X 183400  Y 116100
X 177100  Y 153500
X 166900  Y 165400
X 166200  Y 169100
X 177500  Y 170700
X 166500  Y 175000
X 182100  Y 179500
X 167000  Y 179700
X 161800  Y 187800
X 169500  Y 202500
X 166900  Y 202700
X 178500  Y 206600
X 171000  Y 207000
X 181100  Y 208100
X 160600  Y 210900
X 182500  Y 214500
X 183100  Y 217100
X 165900  Y 217800
X 171900  Y 217800
X 165900  Y 223600
X 171900  Y 223600
X 184800  Y 224200
X 183200  Y 226400
X 177500  Y 235194
X 162100  Y 235800
X 174300  Y 235900
X 164100  Y 237700
X 172168  Y 237800
X 169900  Y 240300
X 167031  Y 240468
X 161760  Y 295300
X 184280  Y 295300
X 178650  Y 295300
X 178650  Y 312500
X 184280  Y 312500
X 161800  Y 312500
X 161760  Y 316800
X 178650  Y 316800
X 184280  Y 316800
X 162000  Y 334000
X 178650  Y 334000
X 184280  Y 334000
X 177500  Y 448000
X 171900  Y 546700
X 176300  Y 602800
X 170700  Y 613300
X 171900  Y 618000
X 171100  Y 628100
X 169600  Y 642000
X 161800  Y 642200
X 186600  Y 632200
X 202600  Y 631000
X 185700  Y 623200
X 189200  Y 620700
X 195500  Y 619600
X 187100  Y 619000
X 187000  Y 616400
X 198800  Y 613400
X 195700  Y 602800
X 202600  Y 602200
X 186000  Y 595500
X 185800  Y 549500
X 193300  Y 546900
X 200000  Y 546700
X 185900  Y 542200
X 208800  Y 466100
X 195500  Y 454500
X 208000  Y 404000
X 198000  Y 401000
X 210000  Y 394500
X 206800  Y 334000
X 189910  Y 334000
X 206800  Y 316800
X 189910  Y 316800
X 189910  Y 312500
X 206800  Y 312500
X 206800  Y 295300
X 189910  Y 295300
X 198500  Y 229800
X 194800  Y 220500
X 195900  Y 204600
X 204000  Y 193900
X 207300  Y 192900
X 209168  Y 190300
X 201100  Y 190200
X 198700  Y 188300
X 193400  Y 183000
X 191400  Y 178500
X 209000  Y 176000
